focal_entity,candidate_entity,label,description_of_focal_entity,description_of_candidate_entity,subfield,subfield_definition
On Raynal's posting in arXiv (nucl-th/0407060),Three-body Halos. IV. Momentum Distributions after Fragmentation,True,"With nucl-th/0407060, Jacques Raynal uses the arXiv in a way which does not conform to standard professional practices. His posting contains many statements that are beyond the borders of acceptable scientific disputes, with the scope to defame colleagues by manifestly false or misleading statements. In this comment we reject the three ``critiques'' expressed by Raynal. 1. The fact that we possibly misquoted our references. 2. The role of the Pauli principle in these kind of calculations. 3. The nature and limits of our coupled-channel potential model. Raynal's postings unfairly detract from the importance of our work, which we published in Nuclear Physics A728, 65 (2003), on a new approach, Multi-Channel-Algebraic-Scattering (MCAS), for coupled-channel calculations. With the MCAS approach we were able to identify systematically all low-energy compound resonances, and to include effectively the Pauli principle in collective, geometrical-type, macroscopic models of multichannel interaction. This represents a clear advantage with respect to the current distribution of the ECIS formulation.",Momentum distributions of particles from nuclear break-up of fast three-body halos are calculated incorporating effects of final state interactions. The same two-body interactions between the particles are used to calculate both the ground state structure and the final state of the reaction processes. The ground state wave function reproduces size and energy of the halo nucleus. First we give a general and detailed description of the method. Then we investigate the effect of final state interactions in neutron removal and core break-up reactions for one- and two-dimensional momentum distributions. We compute specifically core and neutron momentum distributions from 11Li fragmentation and compare those with available experimental data. We conclude that 11Li must have a neutron-core relative state containing a p-state admixture of 20\%-30\%. The fragmentation data also strongly suggest that 10Li has an s-state at about 50 keV and a p-state around 500 keV.,Nuclear Theory,"Nuclear theory in physics focuses on theory of nuclear structure covering wide area from models of hadron structure to neutron stars. Nuclear equation of states at different external conditions. Theory of nuclear reactions including heavy-ion reactions at low and high energies. It does not include problems of data analysis, physics of nuclear reactors, problems of safety, reactor construction."
Mid-Infrared Imaging of Nearby Radio-Loud AGN,Small scale clustering of late forming dark matter,True,"We present high spatial resolution MIR observations for several nearby radio loud active galactic nuclei (RLAGN), which were obtained using the Gemini North and South telescopes. Of the six observed objects, we detected five in the Si-2 (8.7 microns) and Si-6 (12.3 microns) filters, of which two objects show some evidence of low level extended emission surrounding the unresolved nucleus. In Pictor A, we also obtained an image in Qs (18.3 microns) that has a flux of only half that seen in the Spitzer image, suggesting structure on arcsecond scales. We also used the Si-6 (12.3 microns) flux measurement to investigate correlation between our MIR flux and xray luminosity and compare this to results for AGN in general. This work also forms a basis for future high resolution imaging and spectroscopy of these objects.","We perform a study of the nonlinear clustering of matter in the late-forming dark matter (LFDM) scenario in which dark matter results from the transition of a nonminimally coupled scalar field from radiation to collisionless matter. A distinct feature of this model is the presence of a damped oscillatory cutoff in the linear matter power spectrum at small scales. We use a suite of high-resolution N-body simulations to study the imprints of LFDM on the nonlinear matter power spectrum, the halo mass and velocity functions and the halo density profiles. The model largely satisfies high-redshift matter power spectrum constraints from Lyman-$\alpha$ forest measurements, while it predicts suppressed abundance of low-mass halos ($\sim 10^{9}-10^{10}$ h$^{-1}$ M$_\odot$) at all redshifts compared to a vanilla $\Lambda$CDM model. The analysis of the LFDM halo velocity function shows a better agreement than the $\Lambda$CDM prediction with the observed abundance of low-velocity galaxies in the local volume. Halos with mass $M\gtrsim 10^{11}$ h$^{-1}$ M$_\odot$ show minor departures of the density profiles from $\Lambda$CDM expectations, while smaller-mass halos are less dense, consistent with the fact that they form later than their $\Lambda$CDM counterparts.",Cosmology and Nongalactic Astrophysics,"Cosmology and nongalactic astrophysics focuses on phenomenology of early universe, cosmic microwave background, cosmological parameters, primordial element abundances, extragalactic distance scale, and large-scale structure of the universe. Groups, superclusters, voids, intergalactic medium. Particle astrophysics: dark energy, dark matter, baryogenesis, leptogenesis, inflationary models, reheating, monopoles, WIMPs, cosmic strings, primordial black holes, and cosmological gravitational radiation."
Coulomb field correction due to virtual $e^+e^-$ production in heavy ion collisions,Impact of Multiplicity Fluctuations on Entropy Scaling Across System Size,True,"The correction to the Coulomb energy due to virtual production of $e^+e^-$ pairs, which is on the order of one percent of the Coulomb energy at nuclear scales is discussed. The effects of including a pair-production term in the semi-empirical mass formula and the correction to the Coulomb barrier for a handful of nuclear collisions using the Bass and Coulomb potentials are studied. With an eye toward future work using Constrained Molecular Dynamics (CoMD) model, we also calculate the correction to the Coulomb energy and force between protons after folding with a Gaussian spatial distribution.","The initial state is one of the greatest uncertainties in heavy-ion collisions. A model-agnostic approach is taken in the phenomenological Trento framework which constrains parameters using Bayesian analysis. However, the color-glass condensate (CGC) effective theory predicts initial energy densities that lie outside the recent Bayesian analyses due, in part, to the assumption in Trento of event-by-event multiplicity fluctuations following a $\Gamma$ distribution. We compare the Trento-preferred $\sqrt{T_{A}T_{B}}$ scaling to CGC-like $T_{A}T_{B}$ scaling coupled with log-normal fluctuations in $AuAu$ and $dAu$ collisions and find there is a significant impact on the multiplicity distributions and on the eccentricities, which may affect the extraction of viscosity in small systems.",Nuclear Experiment,"Nuclear experiment in physics focuses on the areas of fundamental interactions, measurements at low- and medium-energy, as well as relativistic heavy-ion collisions. Does not include: detectors and instrumentation nor analysis methods to conduct experiments; descriptions of experimental programs (present or future); comments on published results."
Direct micro-structuring of Si(111) surfaces through nanosecond-laser Bessel beams,Ultrashort pulse generation from a graphene-coupled passively mode-locked terahertz laser,True,"We present here a nanosecond laser ablation of Si(111) wafer with diffraction-free (Bessel-$J_0$) beams. First, the Axicon a conical shaped optical element for beam shaping is characterized with a visible and infrared light sources. Then, ablation profiles are obtained with Bessel beams generated for $\alpha=1^{\circ}$ and $\alpha=20^{\circ}$ base angles, then they are characterized via a Scanning Electron, an Atomic Force and an Optical Interferometric Microscopes. Experimental results compared with theoretical predictions obtained by using Bessel functions. Results show that Bessel beams give possibility of straightforward micro-structuring of Si(111) samples because the only central spot of Bessel beams could damage the surface provided that the laser pulse energy becomes in energy-range we found in our experiments. Moreover, our results clearly indicate that reduced HAZ area due to thermal expansion in ns pulse regime are natural outcome of Bessel beams as opposed to Gauss beams of same spot size. Lastly, nanosecond pulses indicate two-ablation regimes regarding the pulse energy, the quality of structures can be enhanced by using high quality Gauss beams ($M^{2}\approx1$) and the size of fabricated structures can be much reduced by using larger base angle of Axicon (such as $\alpha=40^{\circ}$) in our scheme.","The generation of stable trains of ultra-short (fs-ps), terahertz (THz)-frequency radiation pulses, with large instantaneous intensities, is an underpinning requirement for the investigation of light-matter interactions, for metrology and for ultra-high-speed communications. In solid-state electrically-pumped lasers, the primary route for generating short pulses is through passive mode-locking. However, this has not yet been achieved in the THz range, defining one of the longest standing goals over the last two decades. In fact, the realization of passive mode-locking has long been assumed to be inherently hindered by the fast recovery times associated with the intersubband gain of THz lasers. Here, we demonstrate a self-starting miniaturized ultra-short pulse THz laser, exploiting an original device architecture that includes the surface patterning of multilayer-graphene saturable absorbers distributed along the entire cavity of a double-metal semiconductor 2.30-3.55 THz wire laser. Self-starting pulsed emission with 4.0-ps-long pulses in a compact, all-electronic, all-passive and inexpensive configuration is demonstrated.",Optics,Optics in physics focuses on adaptive optics. Astronomical optics. Atmospheric optics. Biomedical optics. Cardinal points. Collimation. Doppler effect. Fiber optics. Fourier optics. Geometrical optics (Gradient index optics. Holography. Infrared optics. Integrated optics. Laser applications. Laser optical systems. Lasers. Light amplification. Light diffraction. Luminescence. Microoptics. Nano optics. Ocean optics. Optical computing. Optical devices. Optical imaging. Optical materials. Optical metrology. Optical microscopy. Optical properties. Optical signal processing. Optical testing techniques. Optical wave propagation. Paraxial optics. Photoabsorption. Photoexcitations. Physical optics. Physiological optics. Quantum optics. Segmented optics. Spectra. Statistical optics. Surface optics. Ultrafast optics. Wave optics. X-ray optics.
Comment on: ``Trace anomaly of dilaton coupled scalars in two dimensions'',"Generalized Uncertainty Principle, Extra-dimensions and Holography",True,The trace anomaly for nonminimally coupled scalars in spherically reduced gravity obtained by Bousso and Hawking (hep-th/9705236) is incorrect. We explain the reasons for the deviations from our correct (published) result which is supported by several other recent papers.,"We consider Uncertainty Principles which take into account the role of gravity and the possible existence of extra spatial dimensions. Explicit expressions for such Generalized Uncertainty Principles in 4+n dimensions are given and their holographic properties investigated. In particular, we show that the predicted number of degrees of freedom enclosed in a given spatial volume matches the holographic counting only for one of the available generalizations and without extra dimensions.",High Energy Physics - Theory,"High energy physics - theory focuses on formal aspects of quantum field theory. String theory, supersymmetry and supergravity."
Why the overlap formula does not lead to chiral fermions,Scaling limit of the one-dimensional attractive Hubbard model: The non-half-filled band case,True,"We describe a conceptually simple, but important test for the overlap approach to the construction of lattice chiral gauge theories. We explain the equivalence of the overlap formula with a certain waveguide model for a simple set of gauge configurations (the trivial orbit). This equivalence is helpful in carrying out the test, and casts serious doubts on the viability of the overlap approach. A recent note by Narayanan and Neuberger which points out a mistake in our previous work is irrelevant in this context.","The scaling limit of the less than half filled attractive Hubbard chain is studied. This is a continuum limit in which the particle number per lattice site, n, is kept finite (0<n<1) while adjusting the interaction and bandwidth in a such way that there is a finite mass gap. We construct this limit both for the spectrum and the secular equations describing the excitations. We find, that similarly to the half filled case, the limiting model has a massive and a massless sector. The structure of the massive sector is closely analogous to that of the half filled band and consequently to the chiral invariant SU(2) Gross-Neveu (CGN) model. The structure of the massless sector differs from that of the half filled band case: the excitations are of particle and hole type, however they are not uniquely defined. The energy and the momentum of this sector exhibits a tower structure corresponding to a conformal field theory with c=1 and SU(2)xSU(2) symmetry. The energy-momentum spectrum and the zero temperature free energy of the states with finite density coincides with that of the half filled case supporting the identification of the limiting model with the SU(2) symmetric CGN theory.",High Energy Physics - Theory,"High energy physics - theory focuses on formal aspects of quantum field theory. String theory, supersymmetry and supergravity."
Evolution of Primordial Magnetic Fields from Phase Transitions,Testing Modified Newtonian dynamics through statistics of velocity dispersion profiles in the inner regions of elliptical galaxies,True,"We consider the evolution of primordial magnetic fields generated during cosmological, electroweak or QCD, phase transitions. We assume that the magnetic field generation can be described as an injection of magnetic energy to cosmological plasma at a given scale determined by the moment of magnetic field generation. A high Reynolds number ensures strong coupling between magnetic field and fluid motions. The subsequent evolution of the magnetic field is governed by decaying hydromagnetic turbulence. Both our numerical simulations and a phenomenological description allow us to recover ""universal"" laws for the decay of magnetic energy and the growth of magnetic correlation length in the turbulent (low viscosity) regime. In particular, we show that during the radiation dominated epoch, energy and correlation length of non-helical magnetic fields scale as conformal time to the powers -1/2 and +1/2, respectively. For helical magnetic fields, energy and correlation length scale as conformal time to the powers -1/3 and +2/3, respectively. The universal decay law of the magnetic field implies that the strength of magnetic field generated during the QCD phase transition could reach $\sim 10^{-9}$\,G with the present day correlation length $\sim 50$ kpc. The fields generated at the electroweak phase transition could be as strong as $\sim 10^{-10}$ G with correlation lengths reaching $\sim 0.3$\,kpc. These values of the magnetic fields are consistent with the lower bounds of the extragalactic magnetic fields.","Modified Newtonian dynamics (MOND) provides a paradigm alternative to dark matter that has been successful in fitting and predicting the rich phenomenology of rotating disc galaxies. There have also been attempts to test MOND in dispersion-supported early-type galaxies, but it remains unclear whether MOND can fit the various empirical properties of early-type galaxies. As a way of rigorously testing MOND in elliptical galaxies we calculate the MOND-predicted velocity dispersion profiles (VDPs) in the inner regions of $\sim 2000$ nearly round SDSS elliptical galaxies under a variety of assumptions on VD anisotropy, and then compare the predicted distribution of VDP slopes with the observed distribution in 11 ATLAS3d galaxies selected with essentially the same criteria. We find that the MOND model parameterised with an interpolating function that works well for rotating galaxies can also reproduce the observed distribution of VDP slopes based only on the observed stellar mass distribution without DM or any other galaxy-to-galaxy varying factor. This is remarkable in view that Newtonian dynamics with DM requires a specific amount and/or profile of DM for each galaxy in order to reproduce the observed distribution of VDP slopes. When we analyse non-round galaxy samples using the MOND-based spherical Jeans equation, we do not find any systematic difference in the mean property of the VDP slope distribution compared with the nearly round sample. However, in line with previous studies of MOND through individual analyses of elliptical galaxies, varying MOND interpolating function or VD anisotropy can lead to systematic change in the VDP slope distribution, indicating that a statistical analysis of VDPs can be used to constrain specific MOND models with an accurate measurement of VDP slopes or a prior constraint on VD anisotropy.",Cosmology and Nongalactic Astrophysics,"Cosmology and nongalactic astrophysics focuses on phenomenology of early universe, cosmic microwave background, cosmological parameters, primordial element abundances, extragalactic distance scale, and large-scale structure of the universe. Groups, superclusters, voids, intergalactic medium. Particle astrophysics: dark energy, dark matter, baryogenesis, leptogenesis, inflationary models, reheating, monopoles, WIMPs, cosmic strings, primordial black holes, and cosmological gravitational radiation."
The Interfacial Structure of InP(100) in Contact with HCl and H$_2$SO$_4$ studied by Reflection Anisotropy Spectroscopy,A Review of Liquid Phase Epitaxial Grown Gallium Arsenide,True,"Indium phosphide and derived compound semiconductors are materials often involved in high-efficiency solar water splitting due to their versatile opto-electronic properties. Surface corrosion, however, typically deteriorates the performance of photoelectrochemical solar cells based on this material class. It has been reported that (photo)electrochemical surface functionalisation protects the surface by combining etching and controlled corrosion. Nevertheless, the overall involved process is not fully understood. Therefore, access to the electrochemical interface structure under operando conditions is crucial for a more detailed understanding. One approach for gaining structural insight is the use of operando reflection anisotropy spectroscopy. This technique allows the time-resolved investigation of the interfacial structure while applying potentials in the electrolyte. In this study, p-doped InP(100) surfaces are cycled between anodic and cathodic potentials in two different electrolytes, hydrochloric acid and sulphuric acid. For low, 10 mM electrolyte concentrations, we observe a reversible processes related to the reduction of a surface oxide phase in the cathodic potential range which is reformed near open-circuit potentials. Higher concentrations of 0.5 N, however, already lead to initial surface corrosion.","Liquid phase epitaxy of gallium arsenide (LPE GaAs) has been investigated intensively from the late 1960's to the present and has now a special place in the manufacture of wide band, compound semiconductor radiation detectors. Although this particular process appears to have gained prominence in the last three decades, it is interesting to note that its origins reach back to 1836 when Frankenheim made his first observations. A brief review is presented from a semiconductor applications point of view on how this subject developed. This is followed by a report on LPE GaAs growth at the Australian Nuclear Science and Technology Organisation (ANSTO).",Materials Science,"Materials science in condensed matter physics focuses on the properties and behaviors of materials from a condensed matter perspective. In particular, this includes techniques, synthesis, characterization, structure. Structural phase transitions, mechanical properties, phonons. Defects, adsorbates, interfaces."
Composite Mediators and Lorentz Violation,"Renormalization, Hopf algebras and Mellin transforms",True,"We briefly review the history and current status of models of particle interactions in which massless mediators are given, not by fundamental gauge fields as in the Standard Model, but by composite degrees of freedom of fermionic systems. Such models generally require the breaking of Lorentz invariance. We describe schemes in which the photon and the graviton emerge as Goldstone bosons from the breaking of Lorentz invariance, as well as generalizations of the quantum Hall effect in which composite excitations yield massless particles of all integer spins. While these schemes are of limited interest for the photon (spin 1), in the case of the graviton (spin 2) they offer a possible solution to the long-standing UV problem in quantum linear gravity.","This article aims to give a short introduction into Hopf-algebraic aspects of renormalization, enjoying growing attention for more than a decade by now. As most available literature is concerned with the minimal subtraction scheme, we like to point out properties of the kinematic subtraction scheme which is also widely used in physics (under the names of MOM or BPHZ). In particular we relate renormalized Feynman rules $\phi_R$ in this scheme to the universal property of the Hopf algebra $H_R$ of rooted trees, exhibiting a refined renormalization group equation which is equivalent to $\phi_R: H_R \rightarrow K[x]$ being a morphism of Hopf algebras to the polynomials in one indeterminate. Upon introduction of analytic regularization this results in efficient combinatorial recursions to calculate $\phi_R$ in terms of the Mellin transform. We find that different Feynman rules are related by a distinguished class of Hopf algebra automorphisms of $H_R$ that arise naturally from Hochschild cohomology. Also we recall the known results for the minimal subtraction scheme and shed light on the interrelationship of both schemes. Finally we incorporate combinatorial Dyson-Schwinger equations to study the effects of renormalization on the physical meaningful correlation functions. This yields a precise formulation of the equivalence of the two different renormalization prescriptions mentioned before and allows for non-perturbative definitions of quantum field theories in special cases.",High Energy Physics - Theory,"High energy physics - theory focuses on formal aspects of quantum field theory. String theory, supersymmetry and supergravity."
ARPES and optical renormalizations: phonons or spin fluctuations,"Fermi-surface-free superconductivity in underdoped (Bi,Pb)$_{2}$(Sr,La)$_{2}$CuO$_{6+\delta}$ (Bi2201)",True,"Improved resolution in both, energy and momentum in ARPES-data has lead to the establishment of a definite energy scale in the dressed quasiparticle dispersion relations. The observed structure around 80 meV has been taken as evidence for coupling to phonons and has re-focused the debate about the mechanism of superconductivity in the cuprates. Here we address the relative merits of phonon as opposed to spin fluctuation mechanisms. Both possibilities are consistent with ARPES. On the other hand, when considerations are extended to infrared optical data, a spin fluctuation mechanism provides a more natural interpretation of the combined sets of data in Bi_2Sr_2CaCu_2O_{8+\delta} (Bi2212).","We show that hole-doped cuprates can harbor {\it Fermi-surface-free superconductivity} similar to the case of the pnictides. This occurs near the doping at which a new Fermi surface pocket appears in the antinodal region. The change in Fermi surface topology is accompanied by a characteristic rise in spectral weight. Our results support the presence of a trisected superconducting dome, and suggest that superconductivity is responsible for stabilizing the $(\pi,\pi)$ magnetic order.",Superconductivity,"Superconductivity in condensed matter physics focuses on the study of materials and phenomena where electrical resistance drops to zero below a certain critical temperature, allowing for the flow of electric current without energy loss. In particular, this includes superconductivity: theory, models, experiment. Superflow in helium."
