focal_entity,candidate_entity,label,description_of_focal_entity,description_of_candidate_entity
aminoglycoside-induced deafness,drug-induced hearing loss,True,A drug-induced hearing loss characterized by hearing loss induced by therapeutic doses of aminoglycoside antibiotics that has material basis in mutation in the mitochondrial genes MTRNR1 or MTCO1 in combination with homozygous mutation in TRMU on chromosome 22q13.31.,A nonsyndromic deafness that is characterized by cochlear or vestibular dysfunction resulting in loss of hearing caused by drug ototoxicity.
diffuse meningeal melanocytosis,central nervous system melanocytic neoplasm,True,A central nervous system melanocytic neoplasm that is characterized as diffuse or multifocal proliferation of uniform nevoid polygonal cells in the leptomeninges.,"A central nervous system cancer that is characterized by melanocytic neoplasm that develops from melanocytes, has material basis in abnormally proliferating cells derives from neural crest cells."
colonic benign neoplasm,lymphangioma,True,An intestinal benign neoplasm that is located in the colon.,A benign vascular tumor that is composed of dilated lymphatic channels.
orofaciodigital syndrome I,X-linked dominant disease,True,"An orofaciodigital syndrome that is characterized by malformations of the face, oral cavity, and digits, has material basis in X-linked dominant inheritance of the OFD1 gene with lethality in males and is associated with polycystic kidney disease.",A X-linked monogenic disease that has material basis in dominant inheritance.
neurocirculatory asthenia,somatoform disorder,True,A somatoform disorder that involves heart disease symptoms without any identifiable physiological abnormalities.,A disease of mental health that involves physical symptoms suggesting a physical illness where the biological or medical cause of the symptoms is indeterminate.
Turner syndrome,gonadal dysgenesis,True,A gonadal dysgenesis that is characterized by short stature and early loss of ovarian function resulting from ovarian hypofunction or premature ovarian failure and has material basis in one missing or structurally altered X chromosome.,A disorder of sexual development that is characterized by a progressive loss of germ cells on the developing gonads of an embryo.
septicemic plague,cardiovascular system disease,True,"A plague that results in infection located in vasculature where bacterial endotoxins cause coagulation, which leads to formation of tiny clots throughout the body. The infection has symptom fever, has symptom chills, has symptom prostration, has symptom abdominal pain, has symptom shock and has symptom bleeding into skin and other organs.","A disease of anatomical entity which occurs in the blood, heart, blood vessels or the lymphatic system that passes nutrients (such as amino acids and electrolytes), gases, hormones, blood cells or lymph to and from cells in the body to help fight diseases and help stabilize body temperature and pH to maintain homeostasis."
Dyggve-Melchior-Clausen disease,spondyloepimetaphyseal dysplasia,True,"A spondyloepimetaphyseal dysplasia characterized by clawed fingers, platyspondyly of the spine, abnormalities of the iliac crest, intellectual disability and mucopolysaccharide in the urine that has material basis in homozygous or compound heterozygous mutation in the DYM gene on chromosome 18q21.","An osteochondrodysplasia that results in abnormalities of bone growth located in vertebral column, located in epiphysis, located in metaphysis."
lipoma of spermatic cord,male reproductive organ benign neoplasm,True,A paratesticular lipoma that is located in the spermatic cord and derives from fat cells.,A reproductive organ benign neoplasm that is characterized by a lack of malignancy located in the male reproductive system.
tinea unguium,nail disease,True,"A dermatophytosis that results in fungal infection located in nail, has material basis in Ascomycota fungi that belong to a group called dermatophytes, which cause separation of the nail plate from the nail bed and has symptom thickening of subungueal area. Sometimes, white islands are seen on the external nail plates. These gradually coalesce until the entire nail plate is involved.",An integumentary system disease that is located in nail.
