focal_entity,candidate_entity,label
y740 legion 15 inch gaming laptop,"Lenovo Legion 15.6"" FHD Backlit Gaming Laptop | Intel Core i7-10750H | 32GB DDR4 RAM | 1TB SSD | GeForce GTX 1650 Ti | Backlit Keyboard | USB-C | HDMI | Windows 10 | with Wireless Mouse Bundle",True
y740 legion 15 inch gaming laptop,"Razer Blade 15 Advanced Gaming Laptop 2021: Intel Core i9-11900H 8-Core, NVIDIA GeForce RTX 3080, 15.6” 4K OLED, 32GB RAM, 1TB SSD - CNC Aluminum - Chroma RGB - THX Spatial Audio - Thunderbolt 4",True
y740 legion 15 inch gaming laptop,"LG LCD Laptop 16"" WGXGA (2560x1600) Ultra-Lightweight (2.6 lbs), 11th gen CORE i7, 16GB RAM, 256GB SSD, C Port, USB-A, HDMI, microSD, Audi Jack, 22 Hr Battery Life - Black 2021, Alexa Built-in",False
y740 legion 15 inch gaming laptop,"Lenovo Legion 5 Gaming Laptop, 15.6"" FHD IPS Display, AMD Ryzen 5 4600H, Webcam, Backlit Keyboard, Wi-Fi 6, USB-C, HDMI, GeForce GTX 1650 Ti, Windows 10 Home, 8GB Memory, 256GB PCIe SSD + 1TB HDD",False
tv 4k philips,"Philips 5500 Series 24PFS5525/12 TV 61 cm (24"") Full HD Plata 5500 Series 24PFS5525/12, 61 cm (24""), 1920 x 1080 Pixeles, Full HD, LED, DVB-C,DVB-S,DVB-S2,DVB-T,DVB-T2,DVB-T2 HD, Plata",True
tv 4k philips,"Samsung Crystal UHD 2020 43TU7095 - Smart TV de 43"", 4K, HDR 10+, Procesador 4K, PurColor, Sonido Inteligente, Función One Remote Control y Compatible Asistentes de Voz, Compatible con Alexa",True
tv 4k philips,"TELEVISOR PHILIPS 43PUS8555 - 43""/108CM - 3840*2160 4K - AMBILIGHT*3 - HDR10+ - DVB-T/T2/T2-HD/C/S/S2 - ANDROID TV - 20W - WIFI - BT - 4*HDMI - 2*USB",False
tv 4k philips,"TV LED 65"" PHILIPS 65PUS8555/12 4K UHD,AMBILIGHT 3 LADOS",False
air dior jordan 1,"Nike Mens Air Jordan 1 Mid ""Chicago Black Toe"" Basketball Sneakers (9)",True
air dior jordan 1,AIR JORDAN 1 Retro High Og Smoke Grey 10,True
air dior jordan 1,"Nike Men's Air Jordan 1 Mid Light Smoke Grey, Light Smoke Grey/Black/White, 13",False
