title_1,abstract_1,subcategory_1,subsubcategory_1,title_2,abstract_2,subcategory_2,subsubcategory_2,label
The Ferromagnetic Potts model under an external magnetic field: an exact renormalization group approach,"The q-state ferromagnetic Potts model under a non-zero magnetic field coupled with the 0^th Potts state was investigated by an exact real-space renormalization group approach. The model was defined on a family of diamond hierarchical lattices of several fractal dimensions d_F. On these lattices, the renormalization group transformations became exact for such a model when a correlation coupling that singles out the 0^th Potts state was included in the Hamiltonian. The rich criticality presented by the model with q=3 and d_F=2 was fully analyzed. Apart from the Potts criticality for the zero field, an Ising-like phase transition was found whenever the system was submitted to a strong reverse magnetic field. Unusual characteristics such as cusps and dimensional reduction were observed on the critical surface.",cond-mat,cond-mat.dis-nn,Boosting Transparency in Topological Josephson Junctions via Stencil Lithography,"Hybrid devices comprised of topological insulator (TI) nanostructures in proximity to s-wave superconductors (SC) are expected to pave the way towards topological quantum computation. Fabrication under ultra-high vacuum conditions is necessary to attain high quality of TI-SC hybrid devices, because the physical surfaces of V-VI three-dimensional TIs suffer from degradation at ambient conditions. Here, we present an in-situ process, which allows to fabricate such hybrids by combining molecular beam epitaxy and stencil lithography. As-prepared Josephson junctions show nearly perfect interface transparency and very large $I_CR_N$ products. The Shapiro response of radio frequency measurements indicates the presence of gapless Andreev bound states, so-called Majorana bound states.",cond-mat,cond-mat.supr-con,0
Proper-time measurement in accelerated relativistic systems,"Separate constituents of extended systems measure proper-times on different world-lines. Relating and comparing proper-time measurements along any two such world-lines requires that common simultaneity be possible, which in turn implies that the system is linearly-rigidly moving so that momentary rest frames are identifiable at any stage of the system's journey in space-time. Once momentary rest-frames have been identified, clocks moving on separate world-lines are synchronizable by light-signal communication. The synchronization relations for two clocks are explicitly computed using light-signals exchanged between them. Implications for the clock hypothesis are included. Also, since simultaneity is frame-dependent, incorrect usage of it leads to pseudo-paradoxes. Counter-examples are discussed.",physics,physics.class-ph,Unsupervised Full-color Cellular Image Reconstruction through Disordered Optical Fiber,"Recent years have witnessed the tremendous development of fusing fiber-optic imaging with supervised deep learning to enable high-quality imaging of hard-to-reach areas. Nevertheless, the supervised deep learning method imposes strict constraints on fiber-optic imaging systems, where the input objects and the fiber outputs have to be collected in pairs. To unleash the full potential of fiber-optic imaging, unsupervised image reconstruction is in demand. Unfortunately, neither optical fiber bundles nor multimode fibers can achieve a point-to-point transmission of the object with a high sampling density, as is a prerequisite for unsupervised image reconstruction. The recently proposed disordered fibers offer a new solution based on the transverse Anderson localization. Here, we demonstrate unsupervised full-color imaging with a cellular resolution through a meter-long disordered fiber in both transmission and reflection modes. The unsupervised image reconstruction consists of two stages. In the first stage, we perform a pixel-wise standardization on the fiber outputs using the statistics of the objects. In the second stage, we recover the fine details of the reconstructions through a generative adversarial network. Unsupervised image reconstruction does not need paired images, enabling a much more flexible calibration under various conditions. Our new solution achieves full-color high-fidelity cell imaging within a working distance of at least 4 mm by only collecting the fiber outputs after an initial calibration. High imaging robustness is also demonstrated when the disordered fiber is bent with a central angle of 60{\deg}. Moreover, the cross-domain generality on unseen objects is shown to be enhanced with a diversified object set.",physics,physics.optics,0
Searching for orbital decay in a heartbeat star system KIC 3766353,"Theory suggests that the orbits of a large fraction of binary systems, including planet-star binary systems, shrink by few orders of magnitude after formation. But so far, only one hot Jupiter with tidally-driven orbital decay has been found by transit timing variations. We propose to search for orbital decay companions in heartbeat star systems because the orbital angular momentum is effectively transferred to the host star causing tidal dissipation. KIC 3766353 is one of the heartbeat stars with tidally excited oscillations. We acquired the primary and the secondary eclipse time variations from the \textit{Kepler} photometric light curves. Timing analysis shows that KIC 3766353 is a hierarchical triple system with a hidden third body and a red dwarf (mass $0.35\ M_{\odot}$, radius $0.34\ R_{\odot}$) in its inner orbit. The minimum mass of the third body is $\sim 0.26 \ M_{\odot}$, and the distance from the inner orbital is $\sim 111.4 \ R_{\odot}$. The period decay rate of the red dwarf is approximately 358 ms yr$^{-1}$. The combined effects of the light-travel time and the orbital decay lead to the observed timing variations. Future monitoring with a long time base-line observations is required to delve into the contributions of these two effects.",astro-ph,astro-ph.SR,Polar Ring Galaxies in the Galaxy Zoo,"We report observations of 16 candidate polar ring galaxies (PRGs) identified by the Galaxy Zoo project in the Sloan Digital Sky Survey (SDSS) database. Deep images of five galaxies are available in the SDSS Stripe82 database, while to reach similar depth we observed the remaining galaxies with the 1.8-m Vatican Advanced Technology Telescope. We derive integrated magnitudes and u-r colours for the host and ring components and show continuum-subtracted H\alpha+[NII] images for seven objects. We present a basic morphological and environmental analysis of the galaxies and discuss their properties in comparison with other types of early-type galaxies. Follow-up photometric and spectroscopic observations will allow a kinematic confirmation of the nature of these systems and a more detailed analysis of their stellar populations.",astro-ph,astro-ph.CO,0
Quantitative Method for the Optimal Subtraction of Continuum Emission from Narrow-band Images : Skewness Transition Analysis,"We present an objective method to remove the stellar continuum emission from narrow-band images to derive emission-line images. The method is based on the skewness of the pixel histogram of the residual images. Specifically, we exploit a transition in the skewness of the signal in the continuum-subtracted image, which appears when the image changes from being under-subtracted to over-subtracted. Tests on one-dimensional artificial images demonstrate that the transition identifies the optimal scaling factor {\mu} to be used on the broad-band image IB in order to produce the optimal line-emission image IE, i.e., IE =IN - {\mu} IB, with IN the original (un-subtracted) narrow-band image. The advantage of this method is that it uses all information-bearing pixels in the final image, and not just a sub-set of those pixels (the latter being common in many traditional approaches to stellar continuum removal from narrow-band images). We apply our method to actual images, both from ground-based and space facilities, in particular to WFPC2 and ACS images from the Hubble Space Telescope, and we show that it is successful irrespective of the nature of the sources (point-like or extended). We also discuss the impact on the accuracy of the method of non-optimal images, such as those containing saturated sources or non-uniform background, and present `workarounds' for those problems.",astro-ph,astro-ph.IM,Variability in Quasar Broad Absorption Line Outflows I. Trends in the Short-Term versus Long-Term Data,"Broad absorption lines (BALs) in quasar spectra identify high velocity outflows that likely exist in all quasars and could play a major role in feedback to galaxy evolution. The variability of BALs can help us understand the structure, evolution, and basic physical properties of the outflows. Here we report on our first results from an ongoing BAL monitoring campaign of a sample of 24 luminous quasars at redshifts 1.2<z<2.9, focusing on C IV 1549 BAL variability in two different time intervals: 4 to 9 months (short-term) and 3.8 to 7.7 years (long-term) in the quasar rest-frame. We find that 39% (7/18) of the quasars varied in the short-term, whereas 65% (15/23) varied in the long-term, with a larger typical change in strength in the long-term data. The variability occurs typically in only portions of the BAL troughs. The components at higher outflow velocities are more likely to vary than those at lower velocities, and weaker BALs are more likely to vary than stronger BALs. The fractional change in BAL strength correlates inversely with the strength of the BAL feature, but does not correlate with the outflow velocity. Both the short-term and long-term data indicate the same trends. The observed behavior is most readily understood as a result of the movement of clouds across the continuum source. If the crossing speeds do not exceed the local Keplerian velocity, then the observed short-term variations imply that the absorbers are <6 pc from the central quasar.",astro-ph,astro-ph.CO,0
Koopman Operator and Phase Space Partition of Chaotic Maps,"Koopman operator describes evolution of observables in the phase space, which could be used to extract characteristic dynamical features of a nonlinear system. Here, we show that it is possible to carry out interesting symbolic partitions based on properly constructed eigenfunctions of the operator for chaotic maps. The partition boundaries are the extrema of these eigenfunctions, the accuracy of which is improved by including more basis functions in the numerical computation. The validity of this scheme is demonstrated in well-known 1-d and 2-d maps. It seems no obstacle to extend the computation to nonlinear systems of high dimensions, which provides a possible way of dissecting complex dynamics.",nlin,nlin.CD,Transport of Coupled Self-propelled Particles with Gaussian Colored Noise,"The transport of coupled self-propelled particles with colored noise and potential is investigated. Large translational motion noise intensity is good for the transport in $-x$ direction, but large self-correlation time of translational motion noise will inhibit this transport. For proper value of the asymmetry parameter, coupled passive particles move always in $-x$ direction with increasing angle noise intensity, but coupled self-propelled particles appear the transport reverse phenomenon with increasing angle noise intensity. Large length of the spring is good for the directional transport. The average velocity has a maximum and a minimum with increasing spring constant $k$. For passive and very small self-propelled speed coupled particles, large number of particle is good for directional movement, but the effect of coupling will become weak when the self-propelled speed is large.",nlin,nlin.AO,0
Non-linear acceleration at supernova remnant shocks and the hardening in the cosmic ray spectrum,"In the last few years several experiments have shown that the cosmic ray spectrum below the knee is not a perfect power-law. In particular, the proton and helium spectra show a spectral hardening by ~ 0.1-0.2 in spectral index at particle energies of ~ 200-300 GeV/nucleon. Moreover, the helium spectrum is found to be harder than that of protons by ~ 0.1 and some evidence for a similar hardening was also found in the spectra of heavier elements. Here we consider the possibility that the hardening may be the result of a dispersion in the slope of the spectrum of cosmic rays accelerated at supernova remnant shocks. Such a dispersion is indeed expected within the framework of non-linear theories of diffusive shock acceleration, which predict steeper (harder) particle spectra for larger (smaller) cosmic ray acceleration efficiencies.",astro-ph,astro-ph.HE,Beyond Einstein-Cartan gravity: Quadratic torsion and curvature invariants with even and odd parity including all boundary terms,"Recently, gravitational gauge theories with torsion have been discussed by an increasing number of authors from a classical as well as from a quantum field theoretical point of view. The Einstein-Cartan(-Sciama-Kibble) Lagrangian has been enriched by the parity odd pseudoscalar curvature (Hojman, Mukku, and Sayed) and by torsion square and curvature square pieces, likewise of even and odd parity. (i) We show that the inverse of the so-called Barbero-Immirzi parameter multiplying the pseudoscalar curvature, because of the topological Nieh-Yan form, can only be appropriately discussed if torsion square pieces are included. (ii) The quadratic gauge Lagrangian with both parities, proposed by Obukhov et al. and Baekler et al., emerges also in the framework of Diakonov et al.(2011). We establish the exact relations between both approaches by applying the topological Euler and Pontryagin forms in a Riemann-Cartan space expressed for the first time in terms of irreducible pieces of the curvature tensor. (iii) Only in a Riemann-Cartan spacetime, that is, in a spacetime with torsion, parity violating terms can be brought into the gravitational Lagrangian in a straightforward and natural way. Accordingly, Riemann-Cartan spacetime is a natural habitat for chiral fermionic matter fields.",astro-ph,astro-ph.CO,0
Strange nonchaos in self-excited singing flames,"We report the first experimental evidence of strange nonchaotic attractor (SNA) in the natural dynamics of a self-excited laboratory-scale system. In the previous experimental studies, the birth of SNA was observed in quasiperiodically forced systems; however, such an evidence of SNA in an autonomous laboratory system is yet to be reported. We discover the presence of SNA in between the attractors of quasiperiodicity and chaos through a fractalization route in a laboratory thermoacoustic system. The observed dynamical transitions from order to chaos via SNA is confirmed through various nonlinear characterization methods prescribed for the detection of SNA.",nlin,nlin.AO,Boussinesq Solitary-Wave as a Multiple-Time Solution of the Korteweg-de Vries Hierarchy,"We study the Boussinesq equation from the point of view of a multiple-time reductive perturbation method. As a consequence of the elimination of the secular producing terms through the use of the Korteweg--de Vries hierarchy, we show that the solitary--wave of the Boussinesq equation is a solitary--wave satisfying simultaneously all equations of the Korteweg--de Vries hierarchy, each one in an appropriate slow time variable.",nlin,nlin.PS,0
Light-induced anomalous Hall effect in massless Dirac fermion systems and topological insulators with dissipation,"Employing the quantum Liouville equation with phenomenological dissipation, we investigate the transport properties of massless and massive Dirac fermion systems that mimics graphene and topological insulators, respectively. The massless Dirac fermion system does not show an intrinsic Hall effect, but it shows a Hall current under the presence of circularly-polarized laser fields as a nature of a optically-driven nonequilibrium state. Based on the microscopic analysis, we find that the light-induced Hall effect mainly originates from the imbalance of photocarrier distribution in momentum space although the emergent Floquet-Berry curvature also has a non-zero contribution. We further compute the Hall transport property of the massive Dirac fermion system with an intrinsic Hall effect in order to investigate the interplay of the intrinsic topological contribution and the extrinsic light-induced population contribution. As a result, we find that the contribution from the photocarrier population imbalance becomes significant in the strong field regime and it overcomes the intrinsic contribution. This finding clearly demonstrates that intrinsic transport properties of materials can be overwritten by external driving and may open a way to ultrafast optical-control of transport properties of materials.",physics,physics.optics,One-Loop Fluctuation Entropy of Charge Inversion in DNA,"Experiments have revealed correlation-driven behavior of DNA in charged solutions, including charge inversion and condensation. This paper presents calculations of a lattice-gas model of charge inversion for the adsorption of charged dimers on DNA. Each adsorption site is assumed to have either a vacancy or a positively-charged dimer attached with the dimer oriented either parallel or perpendicular to the double helix DNA chain. The entropy and charge distributions of these three species are calculated including the lowest order fluctuation corrections to mean-field theory. We find that the inclusion of the fluctuation terms has a significant effect on the entropy, primarily in the regime where the dimers are repelled from the DNA molecule and compete with the chemical potential in solution.",physics,physics.bio-ph,0
A dark energy view of inflation,"Traditionally, inflationary models are analyzed in terms of parameters such as the scalar spectral index ns and the tensor to scalar ratio r, while dark energy models are studied in terms of the equation of state parameter w. Motivated by the fact that both deal with periods of accelerated expansion, we study the evolution of w during inflation, in order to derive observational constraints on its value during an earlier epoch likely dominated by a dynamic form of dark energy. We find that the cosmic microwave background and large-scale structure data is consistent with w_inflation=-1 and provides an upper limit of 1+w <~ 0.02. Nonetheless, an exact de Sitter expansion with a constant w=-1 is disfavored since this would result in ns=1.",astro-ph,astro-ph.CO,When and how does ram pressure stripping in low-mass satellite galaxies enhance star formation,"We investigate how a satellite's star formation rate (SFR) and surviving gas respond to ram pressure stripping in various environments. Using a suite of high-resolution ""wind-tunnel"" simulations with radiative cooling, star formation, and supernovae feedback, we model the first infall orbit of a low-mass disk galaxy ($M_{*} = 10^{9.7} M_{\odot}$) in different host halos, ranging from Milky Way-like to cluster hosts. When the ram pressure is moderate, we find that the stripping satellite shows an enhanced SFR relative to the isolated control case, despite gas loss due to stripping. The SFR enhancement is caused, not directly by compression, but by ram pressure-driven mass flows, which can increase the dense gas fraction in the central disk regions. The spatially-resolved star formation main sequence and Kennicutt-Schmidt relations in our simulations are consistent with recent findings of the VERTICO and GASP surveys. Our results predict the environmental signals of RPS in future multiwavelength, high-angular resolution observations: the star formation and gas surface densities will be centralized, and symmetrically enhanced within the stripping radius.",astro-ph,astro-ph.GA,0
"Stable marriage problem under Monte Carlo simulations, influence of preferrence corelation on relaxation time","In this paper we consider stable marriage problem under the Monte Carlo simulations. We investigate how correlation in lists of preferrences can affect simulation results such as: relaxation time, time distribution of relaxation times etc. We took into account attractiveness of individuals and it's different types as well as personal taste.",nlin,nlin.AO,Integral equations for the correlation functions of the quantum one-dimensional Bose gas,"The large time and long distance behavior of the temperature correlation functions of the quantum one-dimensional Bose gas is considered. We obtain integral equations, which solutions describe the asymptotics. These equations are closely related to the thermodynamic Bethe Ansatz equations. In the low temperature limit the solutions of these equations are given in terms of observables of the model.",nlin,nlin.SI,0
