title_1,abstract_1,subcategory_1,subsubcategory_1,title_2,abstract_2,subcategory_2,subsubcategory_2,label
The $UBV$ Color Evolution of Classical Novae. IV. Time-Stretched $(U-B)_0$-$(M_B-2.5\log f_{\rm s})$ and $(V-I)_0$-$(M_I-2.5\log f_{\rm s})$ Color-Magnitude Diagrams of Novae in Outburst,"Light curves and color evolutions of two classical novae can be largely overlapped if we properly squeeze or stretch the timescale of a target nova against that of a template nova by $t'=t/f_{\rm s}$. Then the brightness of the target nova is related to the brightness of the template nova by $(M[t])_{\rm template} = (M[t/f_{\rm s}] - 2.5 \log f_{\rm s})_{\rm target}$, where $M[t]$ is the absolute magnitude and a function of time $t$, and $f_{\rm s}$ is the ratio of timescales between the target and template novae. In the previous papers of this series, we show that many novae broadly overlap in the time-stretched $(B-V)_0$-$(M_V-2.5 \log f_{\rm s})$ color-magnitude diagram. In the present paper, we propose two other $(U-B)_0$-$(M_B-2.5\log f_{\rm s})$ and $(V-I)_0$-$(M_I-2.5\log f_{\rm s})$ diagrams, and show that their tracks overlap for 16 novae and for 52 novae, respectively. Here, $(U-B)_0$, $(B-V)_0$, and $(V-I)_0$ are the intrinsic $U-B$, $B-V$, and $V-I$ colors and not changed by the time-stretch, and $M_B$, $M_V$, and $M_I$ are the absolute $B$, $V$, and $I$ magnitudes. Using these properties, we considerably refine the previous estimates of their distance and reddening. The obtained distances are in reasonable agreement with those of {\it Gaia} Data Release 2 catalogue.",astro-ph,astro-ph.SR,Solar transition region above sunspots,"We study the TR properties above sunspots and the surrounding plage regions, by analyzing several sunspot spectra obtained by SUMER in March 1999 and November 2006. We compare the SUMER spectra observed in the umbra, penumbra, plage, and sunspot plume regions. The Lyman line profiles averaged in each region are presented. For the sunspot observed in 2006, the electron densities, DEM, and filling factors of the TR plasma in the four regions are also investigated. The self-reversals of the Lyman line profiles are almost absent in umbral regions at different locations (heliocentric angle up to $49^\circ$) on the solar disk. In the sunspot plume, the Lyman lines are also not reversed, whilst the lower Lyman line profiles observed in the plage region are obviously reversed. The TR densities of the umbra and plume are similar and one order of magnitude lower than those of the plage and penumbra. The DEM curve of the sunspot plume exhibits a peak centered around $\log(T/\rm{K})\sim5.45$, which exceeds the DEM of other regions by one to two orders of magnitude at these temperatures. We also find that more than 100 lines, which are very weak or not observed anywhere else on the Sun, are well observed by SUMER in the sunspot, especially in the sunspot plume. We suggest that the TR above sunspots is higher and probably more extended, and that the opacity of the hydrogen lines is much smaller above sunspots, as compared to the TR above plage regions. Our result indicates that the enhanced TR emission of the sunspot plume is very likely to be the result of a large filling factor. The strongly enhanced emission at TR temperatures and the reduced continuum make many normally weak TR lines stick out clearly in the spectra of sunspot plumes.",astro-ph,astro-ph.SR,1
Evolution along the sequence of S0 Hubble types induced by dry minor mergers. II - Bulge-disk coupling in the photometric relations through merger-induced internal secular evolution,"Galaxy mergers are considered as questionable mechanisms for the evolution of lenticular galaxies (S0's), on the basis that even minor ones induce structural changes that are difficult to reconcile with the strong bulge-disk coupling observed in the photometric scaling relations of S0's. We check if the evolution induced onto S0's by dry intermediate and minor mergers can reproduce their photometric scaling relations, analysing the bulge-disk decompositions of the merger simulations presented in Eliche-Moral et al. (2012). The mergers induce an evolution in the photometric planes compatible with the data of S0's, even in those ones indicating a strong bulge-disk coupling. The mergers drive the formation of the observed photometric relation in some cases, whereas they induce a slight dispersion compatible with data in others. Therefore, this evolutionary mechanism tends to preserve these scaling relations. In those photometric planes where the morphological types segregate, the mergers always induce evolution towards the region populated by S0's. The structural coupling of the bulge and the disk is preserved or reinforced because the mergers trigger internal secular processes in the primary disk that induce significant bulge growth, even although these models do not induce bars. Intermediate and minor mergers can thus be considered as plausible mechanisms for the evolution of S0's attending to their photometric scaling relations, as they can preserve and even strengthen any pre-existing structural bulge-disk coupling, triggering significant internal secular evolution (even in the absence of bars or dissipational effects). This means that it may be difficult to isolate the effects of pure internal secular evolution from those of the merger-driven one in present-day early-type disks (abridged).",astro-ph,astro-ph.CO,The First Billion Years project: dark matter haloes going from contraction to expansion and back again,"We study the effect of baryons on the inner dark matter profile of the first galaxies using the First Billion Years simulation between z=16-6 before secular evolution sets in. Using a large statistical sample from two simulations of the same volume and cosmological initial conditions, one with and one without baryons, we are able to directly compare haloes with their baryon-free counterparts, allowing a detailed study of the modifications to the dark matter density profile due to the presence of baryons during the first billion years of galaxy formation. For each of the ~ 5000 haloes in our sample we quantify the impact of the baryons using eta, defined as the ratio of dark matter mass enclosed in 100 pc in the baryonic run to its counterpart without baryons. During this epoch of rapid growth of galaxies, we find that many haloes of these first galaxies show an enhancement of dark matter in the halo centre compared to the baryon-free simulation, while many others show a deficit. We find that the mean value of eta is close to unity, but there is a large dispersion, with a standard deviation of 0.677. The enhancement is cyclical in time and tracks the star formation cycle of the galaxy; as gas falls to the centre and forms stars, the dark matter moves in as well. Supernova feedback then removes the gas, and the dark matter again responds to the changing potential. We study three physical models relating the motion of baryons to that of the dark matter: adiabatic contraction, dynamical friction, and rapid outflows. Abridged, see text for full abstract",astro-ph,astro-ph.CO,1
Three orbital model for the iron-based superconductors,"The theoretical need to study the properties of the Fe-based high-T_c superconductors with reliable many-body techniques requires us to determine the minimum number of orbital degrees of freedom that will capture the physics of these materials. While the shape of the Fermi surface (FS) obtained with the local density approximation (LDA) can be reproduced by a two-orbital model, it has been argued that the bands that cross the chemical potential result from the strong hybridization of three of the Fe 3d orbitals. For this reason, a three-orbital Hamiltonian obtained with the Slater-Koster formalism by considering the hybridization of the As p orbitals with the Fe d_xz,d_yz, and d_xy orbitals is discussed here. This model reproduces qualitatively the FS shape and orbital composition obtained by LDA calculations for undoped pnictides when four electrons per Fe are considered. Within a mean-field approximation, its magnetic and orbital properties in the undoped case are described. With increasing Coulomb repulsion, four regimes are obtained: (1) paramagnetic, (2) magnetic (pi,0) spin order, (3) the same (pi,0) spin order but now including orbital order, and finally (4) a magnetic and orbital ordered insulator. The spin-singlet pairing operators allowed by the lattice and orbital symmetries are also constructed. It is found that for pairs of electrons involving up to diagonal nearest-neighbors sites, the only fully gapped and purely intraband spin-singlet pairing operator is given by Delta(k)=f(k)\sum_{alpha} d_{k,alpha,up}d_{-k,alpha,down} with f(k)=1 or f(k)=cos(k_x)cos(k_y) which would arise only if the electrons in all different orbitals couple with equal strength to the source of pairing.",cond-mat,cond-mat.str-el,Static magnetic and ESR spectroscopic properties of the dimer-chain antiferromagnet BiCoPO$_5$,"We report a comprehensive study of the static susceptibility, high-field magnetization and high-frequency/high-magnetic field electron spin resonance (HF-ESR) spectroscopy of polycrystalline samples of the bismuth cobalt oxy-phosphate BiCoPO$_5$. This compound features a peculiar spin system that can be considered as antiferromagnetic (AFM) chains built of pairs of ferromagnetically coupled Co spins and interconnected in all three spatial directions. It was previously shown that BiCoPO$_5$ orders antiferromagnetically at $T_{\rm N} \approx 10$ K and this order can be continuously suppressed by magnetic field towards the critical value $\mu_0H_{\rm c} \approx 15$ T. In our experiments we find strongly enhanced magnetic moments and spectroscopic $g$ factors as compared to the expected spin-only values, suggesting a strong contribution of orbital magnetism for the Co$^{2+}$ ions. This is quantitatively confirmed by ab initio quantum chemical calculations. Within the AFM ordered phase, we observe a distinct field-induced magnetic phase transition. Its critical field rises to $\sim 6$ T at $T \ll T_{\rm N}$. The HF-ESR spectra recorded at $T\ll T_{\rm N}$ are very rich comprising up to six resonance modes possibly of the multimagnonic nature that soften towards the critical region around 6 T. Interestingly, we find that the Co moments are not yet fully polarized at $H_{\rm c}$ which supports a theoretical proposal identifying $H_{\rm c}$ as the quantum critical point for the transition of the spin system in BiCoPO$_5$ to the quantum disordered state at stronger fields.",cond-mat,cond-mat.str-el,1
On the radiation energy density in the jet of high-energy emitting BL Lac objects and its impact on their multi-messenger role,"We examine the potential multi-messenger role of BL Lac objects emitting at high energy (so-called HBL) focusing on the limits on the energy density of soft radiation in the jet frame, a critical parameter which regulates the proton cooling and the fragmentation of ultra-high energy cosmic ray (UHECR) nuclei possibly accelerated in the jet. We show that (under the assumption that the high-energy emission bump is dominated by inverse Compton emission) the energy density of any external soft radiation field (e.g. produced by a layer surrounding the jet or in the accretion flow) cannot be larger than few times that associated to the observed synchrotron radiation produced in the emission region. Quite interestingly, the constraint that we derive is generally stronger than the limit obtained from the condition that the source is transparent to very-high energy $\gamma$-rays. Using this constraint we can derive a robust upper limit for the efficiency of the photopion reaction leading to the emission of PeV neutrinos, $f_{\pi}\lesssim 10^{-5}$, which makes HBL quite inefficient neutrino sources. For the photodisintegration of nuclei the results are more dependent on the spectral properties of the radiation field. The photodisintegration efficiency is safely below 1 (and nuclei can escape intact) for a `canonical' spectrum of the soft radiation field $\propto \nu^{-0.5}$. For radiation fields characterized by a softer spectrum and extended over a large portion of the jet, the efficiency increases and for an appreciable fraction of the sources nuclei with energies above $10^{19}$ eV might suffer significant photodisintegration.",astro-ph,astro-ph.HE,Normal Type Ia supernovae from violent mergers of white dwarf binaries,"One of the most important questions regarding the progenitor systems of Type Ia supernovae (SNe Ia) is whether mergers of two white dwarfs can lead to explosions that reproduce observations of normal events. Here we present a fully three-dimensional simulation of a violent merger of two carbon-oxygen white dwarfs with masses of $0.9 \mathrm{M_\odot}$ and $1.1 \mathrm{M_\odot}$ combining very high resolution and exact initial conditions. A well-tested combination of codes is used to study the system. We start with the dynamical inspiral phase and follow the subsequent thermonuclear explosion under the plausible assumption that a detonation forms in the process of merging. We then perform detailed nucleosynthesis calculations and radiative transfer simulations to predict synthetic observables from the homologously expanding supernova ejecta. We find that synthetic color lightcurves of our merger, which produces about $0.62 \mathrm{M_\odot}$ of $^{56}\mathrm{Ni}$, show good agreement with those observed for normal SNe Ia in all wave bands from U to K. Line velocities in synthetic spectra around maximum light also agree well with observations. We conclude, that violent mergers of massive white dwarfs can closely resemble normal SNe Ia. Therefore, depending on the number of such massive systems available these mergers may contribute at least a small fraction to the observed population of normal SNe Ia.",astro-ph,astro-ph.HE,1
Search for high energy {\gamma}-ray emission from galaxies of the Local Group with Fermi/LAT,"With the discovery of high energy {\gamma}-ray emission from the Andromeda galaxy (M 31) by the Fermi/LAT collaboration, normal galaxies begin to arise from the shadows for the first time, providing insight on cosmic ray acceleration in external galaxies. We search for high energy {\gamma}-ray emission from galaxies in the Local Group which were not investigated so far: M 81, M 83, IC 342, Maffei 1, Maffei 2 and M 94. Fermi/LAT public data from August 4, 2008 to January 1, 2011 were analysed for these galaxies. We compare the results to other starburst and normal galaxies detected at high energies so far: the Magellanic clouds, M 31, and the starburst galaxies M 82 and NGC 253. No significant detection is found in the data for the sources in our sample, and we derive upper limits on their photon flux. Comparing the results to other Local Group objects, we find that the derived upper limits are fully compatible with expectations from cosmic rays interacting with the interstellar medium within the host galaxies. In the case of M 33 and M 83, a detection in Fermi/LAT data should be imminent. The expected fluxes for the other sources in the sample are below the sensitivity of Fermi/LAT, even after 10 years of observation. Collective emission from compact objects in the host galaxies is also found to be negligible compared to the expected emission from cosmic ray interactions.",astro-ph,astro-ph.HE,Probing Correlations in the Binary Black Hole Population with Flexible Models,"The astrophysical formation channels of binary black hole systems predict correlations between their mass, spin, and redshift distributions, which can be probed with gravitational-wave observations. Population-level analysis of the latest LIGO-Virgo-KAGRA catalog of binary black hole mergers has identified evidence for such correlations assuming linear evolution of the mean and width of the effective spin distribution as a function of the binary mass ratio and merger redshift. However, the complex astrophysical processes at play in compact binary formation do not necessarily predict linear relationships between the distributions of these parameters. In this work, we relax the assumption of linearity and instead search for correlations using a more flexible cubic spline model. Our results suggest a nonlinear correlation between the width of the effective spin distribution and redshift. We also show that the LIGO-Virgo-Kagra collaborations may find convincing Bayesian evidence for nonlinear correlations by the end of the fourth observing run, O4. This highlights the valuable role of flexible models in population analyses of compact-object binaries in the era of growing catalogs.",astro-ph,astro-ph.HE,1
Saturation model for 2-gamma physics,"We introduce a saturation model for photon-photon interactions, based on a QCD dipole picture of high energy scattering. The two-dipole cross-section is assumed to satisfy the saturation property. This pomeron-like contribution is supplemented with QPM and non-pomeron reggeon contributions. The model gives a very good description of the data on the gamma-gamma total cross-section, on the photon structure function F_2^gamma(x,Q^2) at low x and on the gamma*-gamma* cross-section.",hep,hep-ph,Perturbative QCD versus pion exchange and hadronic FSI effects in the gamma gamma --> pi^+ pi^- reaction,"The interplay of pQCD, pion exchange and FSI effects is studied for the gamma gamma --> pi^+ pi^- reaction in the region of 2 GeV < W_{gamma gamma} < 6 GeV. We find strong interference effects between pQCD and soft pion-exchange amplitudes up to W_{gamma gamma} ~ 4 GeV. We discuss to which extend the conventional hadronic FSI effects could cloud the pQCD effects. We study multipole soft and hard scattering effects as well as the coupling between final state hadronic channels. We show how the perturbative effects in gamma gamma --> rho rho may mix with perturbative effects in gamma gamma --> pi^+ pi^-. The effects discussed in this paper improve the agreement with the new data of the DELPHI and ALEPH collaborations. We give estimates of the onset of the pQCD regime. Predictions for gamma gamma --> pi^0 pi^0 are presented.",hep,hep-ph,1
On the connection between the intergalactic medium and galaxies: The HI-galaxy cross-correlation at z < 1,"We present a new optical spectroscopic survey of 1777 'star-forming' ('SF') and 366 'non-star-forming' ('non-SF') galaxies at redshifts z < 1 (2143 in total), 22 AGN and 423 stars, observed by instruments such as DEIMOS, VIMOS and GMOS, in 3 fields containing 5 quasi-stellar objects (QSOs) with HST UV spectroscopy. We also present a new spectroscopic survey of 165 'strong' (10^14 < NHI < 10^17 cm^-2), and 489 'weak' (10^13 < NHI < 10^14 cm^-2) intervening HI absorption line systems at z < 1 (654 in total), observed in the spectra of 8 QSOs by COS and FOS on the HST. Combining these new data with previously published galaxy catalogs such as VVDS and GDDS, we have gathered a sample of 654 HI absorption systems and 17509 galaxies at transverse scales < 50 Mpc. We present observational results on the HI-galaxy and galaxy-galaxy correlations at transverse scales r < 10 Mpc, and the HI-HI auto-correlation at transverse scales r < 2 Mpc. The two-point correlation functions are measured both along and transverse to the line-of-sight. We constrain the HI-galaxy statistical connection, as a function of both HI column density and galaxy star-forming activity. Our results are consistent with the following conclusions: (1) the bulk of HI systems on Mpc scales have little velocity dispersion (<120 km/s) with respect to the bulk of galaxies; (2) the vast majority of strong HI systems and SF galaxies are distributed in the same locations, together with 75+-15% of non-SF galaxies, all of which typically reside in dark matter haloes of similar masses; (3) 25+-15% of non-SF galaxies reside in galaxy clusters and are not correlated with strong HI systems at scales < 2 Mpc; and (4) 50% of weak HI systems reside within galaxy voids (hence not correlated with galaxies), and are confined in dark matter haloes of masses smaller than those hosting... [abridged]",astro-ph,astro-ph.CO,Reducing Zero-point Systematics in Dark Energy Supernova Experiments,"We study the effect of filter zero-point uncertainties on future supernova dark energy missions. Fitting for calibration parameters using simultaneous analysis of all Type Ia supernova standard candles achieves a significant improvement over more traditional fit methods. This conclusion is robust under diverse experimental configurations (number of observed supernovae, maximum survey redshift, inclusion of additional systematics). This approach to supernova fitting considerably eases otherwise stringent mission calibration requirements. As an example we simulate a space-based mission based on the proposed JDEM satellite; however the method and conclusions are general and valid for any future supernova dark energy mission, ground or space-based.",astro-ph,astro-ph.CO,1
Low-energy formulas for neutrino masses with $\tan \beta$-dependent hierarchy,"Using radiative correction and seesaw mechanism,we derive analytic formulas for neutrino masses in SUSY unified theories exhibiting, for the first time, a new hierarchial relation among them.The new hierarchy is found to be quite significant especially for smaller values of $\tan\beta$.",hep,hep-ph,Dark matter and observable Lepton Flavour Violation,"Seesaw models with leptonic symmetries allow right-handed (RH) neutrino masses at the electroweak scale, or even lower, at the same time having large Yukawa couplings with the Standard Model leptons, thus yielding observable effects at current or near-future lepton-flavour-violation (LFV) experiments. These models have been previously considered also in connection to low-scale leptogenesis, but the combination of observable LFV and successful leptogenesis has appeared to be difficult to achieve unless the leptonic symmetry is embedded into a larger one. In this paper, instead, we follow a different route and consider a possible connection between large LFV rates and Dark Matter (DM). We present a model in which the same leptonic symmetry responsible for the large Yukawa couplings guarantees the stability of the DM candidate, identified as the lightest of the RH neutrinos. The spontaneous breaking of this symmetry, caused by a Majoron-like field, also provides a mechanism to produce the observed relic density via the decays of the latter. The phenomenological implications of the model are discussed, finding that large LFV rates, observable in the near-future $\mu \to e$ conversion experiments, require the DM mass to be in the keV range. Moreover, the active-neutrino coupling to the Majoron-like scalar field could be probed in future detections of supernova neutrino bursts.",hep,hep-ph,1
Composite Mediators and Lorentz Violation,"We briefly review the history and current status of models of particle interactions in which massless mediators are given, not by fundamental gauge fields as in the Standard Model, but by composite degrees of freedom of fermionic systems. Such models generally require the breaking of Lorentz invariance. We describe schemes in which the photon and the graviton emerge as Goldstone bosons from the breaking of Lorentz invariance, as well as generalizations of the quantum Hall effect in which composite excitations yield massless particles of all integer spins. While these schemes are of limited interest for the photon (spin 1), in the case of the graviton (spin 2) they offer a possible solution to the long-standing UV problem in quantum linear gravity.",hep,hep-th,"Renormalization, Hopf algebras and Mellin transforms","This article aims to give a short introduction into Hopf-algebraic aspects of renormalization, enjoying growing attention for more than a decade by now. As most available literature is concerned with the minimal subtraction scheme, we like to point out properties of the kinematic subtraction scheme which is also widely used in physics (under the names of MOM or BPHZ). In particular we relate renormalized Feynman rules $\phi_R$ in this scheme to the universal property of the Hopf algebra $H_R$ of rooted trees, exhibiting a refined renormalization group equation which is equivalent to $\phi_R: H_R \rightarrow K[x]$ being a morphism of Hopf algebras to the polynomials in one indeterminate. Upon introduction of analytic regularization this results in efficient combinatorial recursions to calculate $\phi_R$ in terms of the Mellin transform. We find that different Feynman rules are related by a distinguished class of Hopf algebra automorphisms of $H_R$ that arise naturally from Hochschild cohomology. Also we recall the known results for the minimal subtraction scheme and shed light on the interrelationship of both schemes. Finally we incorporate combinatorial Dyson-Schwinger equations to study the effects of renormalization on the physical meaningful correlation functions. This yields a precise formulation of the equivalence of the two different renormalization prescriptions mentioned before and allows for non-perturbative definitions of quantum field theories in special cases.",hep,hep-th,1
Distinct core and halo stellar populations and the formation history of the bright Coma cluster early-type galaxy NGC 4889,"We study the stellar population far into the halo of one of the two brightest galaxies in the Coma cluster, NGC 4889, based on deep medium resolution spectroscopy with FOCAS at the Subaru 8.2m telescope. We fit single stellar population models to the measured line-strength (Lick) indices (Hbeta, Mgb, [MgFe]' and <Fe>). Combining with literature data, we construct radial profiles of metallicity, [alpha/Fe] element abundance ratio and age for NGC 4889, from the center out to ~60 kpc (~4Re). We find evidence for different chemical and star formation histories for stars inside and outside 1.2Re = 18 kpc radius. The inner regions are characterized by a steep [Z/H] gradient and high [alpha/Fe] at ~2.5 times solar value. In the halo, between 18 and 60 kpc, the [Z/H] is near-solar with a shallow gradient, while [alpha/Fe] shows a strong negative gradient, reaching solar values at ~60 kpc. We interpret these data in terms of different formation histories for both components. The data for the inner galaxy are consistent with a rapid, quasi-monolithic, dissipative merger origin at early redshifts, followed by one or at most a few dry mergers. Those for the halo argue for later accretion of stars from old systems with more extended star formation histories. The half-light radius of the inner component alone is estimated as ~6 kpc, suggesting a significantly smaller size of this galaxy in the past. This may be the local stellar population signature of the size evolution found for early-type galaxies from high-redshift observations.",astro-ph,astro-ph.CO,The eROSITA Final Equatorial-Depth Survey (eFEDS): X-ray Properties and Scaling Relations of Galaxy Clusters and Groups,"We investigate the scaling relations between X-ray observables of the clusters detected in the eFEDS field using Spectrum-Roentgen-Gamma/eROSITA observations taking into account the selection effects and the distributions of observables with cosmic time. We extract X-ray observables (Lx, Lbol, T, Mgas, Yx) within R500 for the sample of 542 clusters in the eFEDS field. By applying detection and extent likelihoods, we construct a subsample of 265 clusters with a contamination level of <10% (including AGNs and spurious fluctuations) to be utilized in the scaling relation analysis. The selection function based on the state-of-the-art simulations of the eROSITA sky is fully accounted for in our work. We provide the X-ray observables in the core-included <R500 and core-excised 0.15*R500-R500 apertures for 542 galaxy clusters and groups detected in the eFEDS field. Additionally, we present our best-fit results for the normalization, slope, redshift evolution and intrinsic scatter parameters of the X-ray scaling relations between Lx-T, Lx-Mgas, Lx-Yx, Lbol-T, Lbol-Mgas, Lbol-Yx and Mgas-T. We find that the best-fit slopes significantly deviate from the self-similar model at a >3sigma confidence level however, our results are in good agreement with the simulations including non-gravitational physics and the recent results that take into account selection effects. Strong deviations we find from the self-similar scenario indicate that the non-gravitational effects play an important role in shaping the observed physical state of clusters. This work extends the scaling relations to low mass, low luminosity galaxy cluster and group regime using eFEDS observations, demonstrating eROSITA's ability to measure ICM emission out to R500 with survey-depth exposures and constrain the scaling relations in a wide mass-luminosity-redshift range.",astro-ph,astro-ph.CO,1
